idAjusteDirecto,contract_description,type_spender,type_spender1,type_spender2,name_spender,CIF_spender,name_receiver,CIF_receiver,dataCelebracaoContrato,precoContratual,region1,region2,region3
65022,Aquisição de serviços consultoria e análise técnico-financeira relativa às instituições que integram a Rede de Centros Ciência Viva.,Administração Pública,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,Agência,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,504300156,"BDO bdc & Associados, Sociedade de Revisores Oficiais de Contas Lda",501340467,2009-06-29T00:00:00Z,66900,Portugal,Portugal Continental,Portugal Continental
66819,"Aquisição de serviços de publicidade e de espaço publicitário no Jornal on-line de Ciência, Tecnologia e empreendedorismo Ciência Hoje.",Administração Pública,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,Agência,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,504300156,"Ciência H, Lda.",506589870,2009-01-07T00:00:00Z,50000,Portugal,Portugal,Portugal
67627,Aluguer da exposição temporária Xtrems.,Administração Pública,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,Agência,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,504300156,- Experimentarium,DK-104555,2009-06-29T00:00:00Z,260000,Portugal,Lisboa,Lisboa
72973,Aquisição de serviços de consultoria e assessoria em matéria de comunicação intitucional e de imprensa.Aquisição de serviços de organização e produção de eventos.,Administração Pública,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,Agência,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,504300156,"Parceiros de Comunicação, Consultores em Comunicação e Imagem, S.A.",506375293,2009-07-29T00:00:00Z,199900,Portugal,Lisboa,Lisboa
72980,Aquisição de serviços de produção de filme publicitário.,Administração Pública,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,Agência,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,504300156,"Strat, Comunicação e Tecnologia, S.A.",503989770,2009-07-29T00:00:00Z,90350,Portugal,Lisboa,Lisboa
72985,"Aquisiçao de serviços de concepção, design e desenvolvimento de quatro temas gráficos para figurar em cartazes, imprensa, mupis e laterais de autocarros, bem como a respectiva produção.",Administração Pública,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,Agência,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,504300156,"Strat Design - Criatividade e Comunicação, S.A.",504938185,2009-07-29T00:00:00Z,181150,Portugal,Lisboa,Lisboa
74670,"Aquisição de serviços de consultoria e de desenvolvimento do plano de meios publicitários, no âmbito da Campanha de divulgação da cultura cientifica e tecnológica Pela Ciência",Administração Pública,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,Agência,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,504300156,"ZenithOptimedia Publicidade, Lda",502369922,2009-07-30T00:00:00Z,23461,Portugal,Lisboa,Oeiras
77058,"Aquisição de serviços de desenvolvimento e programação de banners para diversos sítios na Internet e de produção de três filmes curtos de 15 segundos, no âmbito da Campanha de divulgação da cultura científica e tecnológica Pela Ciência",Administração Pública,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,Agência,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,504300156,"Patres, Marketing e Comunicação, Lda",504294148,2009-07-29T00:00:00Z,151950,Portugal,Lisboa,Portugal
81514,"Contratação de serviços de uso de software, implementação, gestão, alojamento, formação e manutenção de uma Plataforma Electrónica de Contratação Pública.",Administração Pública,ADERAM - Agência de Desenvolvimento da Região Autónoma da Madeira,Agência,ADERAM - Agência de Desenvolvimento da Região Autónoma da Madeira,511127626,"VORTAL, Comércio Electrónico Consultadoria e Multimédia, S.A",505141019,2009-10-07T00:00:00Z,5040,Portugal,Região Autónoma da Madeira,Funchal
83444,"Fornecimento e instalação de estruturas amovíveis, de placas de PVC com impressão de vinil autocolante e de letras de esferovite, para a Exposição temporária Extremos.",Administração Pública,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,Agência,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,504300156,"Eurostand Stands e Decorações de Interiores, Lda.",501943889,2009-02-09T00:00:00Z,39814.3,Portugal,Lisboa,Lisboa
